,0.001,0.011,0.021,0.031,0.041,0.051,0.061,0.071,0.081,0.091,0.101
0,1.48,369.55,663.99,745.51,862.26,915.58,966.05,935.21,989.2,1000.36,1038.28
1,1.5,377.28,664.07,825.32,844.67,943.77,966.85,973.53,999.82,956.37,1007.56
2,1.68,423.72,723.68,808.16,842.82,920.49,946.79,1003.49,1007.43,1019.38,1019.37
3,1.68,382.55,662.76,806.44,874.28,903.81,937.03,933.79,957.61,991.29,988.08
4,1.17,246.6,592.49,711.41,818.83,836.69,806.53,965.03,977.61,947.12,1007.02
5,1.24,394.3,690.61,805.95,872.26,868.6,936.79,915.29,956.85,1008.33,997.02
6,1.76,438.27,695.6,793.48,888.59,885.99,918.67,956.44,945.49,979.14,1007.41
7,1.14,249.67,522.52,632.44,723.62,759.01,835.99,874.19,958.4,927.49,966.54
8,1.45,351.37,666.15,778.98,790.33,854.7,916.96,913.56,968.86,1009.47,987.78
9,1.63,379.87,674.06,816.53,882.01,921.74,957.69,964.63,986.98,1018.31,1030.15
10,1.39,387.54,666.52,770.42,854.1,885.05,945.46,923.27,968.4,958.25,1017.28
11,1.48,322.35,608.81,752.74,833.93,897.28,925.9,983.71,966.8,977.58,1005.85
12,1.39,387.15,650.17,798.43,872.18,897.06,934.29,965.4,977.82,1028.58,1006.89
13,1.52,423.4,666.24,776.2,873.75,933.1,937.85,964.82,997.29,1029.24,1006.79
14,1.44,337.97,609.5,778.29,837.26,902.82,927.71,964.29,985.71,988.62,977.58
15,2.29,474.03,720.9,828.19,882.49,944.62,965.54,974.64,986.65,1028.54,1029.39
16,1.19,202.98,500.28,675.57,789.75,703.9,927.95,884.92,876.46,907.37,944.56
17,1.26,372.98,622.72,777.49,867.79,877.86,915.54,973.27,945.37,988.6,1006.82
18,1.63,419.76,681.53,779.88,898.59,905.9,928.55,953.16,987.79,1016.82,956.85
19,1.5,300.61,632.19,762.64,846.37,908.2,967.59,982.96,943.99,990.11,976.97
20,1.95,425.49,717.5,798.02,890.57,924.73,950.87,963.62,996.41,1028.55,1026.45
21,1.39,367.23,606.96,712.01,825.44,856.43,917.71,953.92,956.77,988.42,994.65
22,1.81,462.56,702.82,842.88,899.72,933.77,967.19,984.13,1017.13,1019.59,1039.46
23,2.06,426.41,727.67,822.07,868.76,924.68,937.0,964.67,988.96,1007.93,987.61
24,1.45,317.79,643.85,726.76,865.38,878.25,945.85,913.35,946.63,998.77,1009.05
25,1.05,125.37,423.52,457.3,594.34,597.0,710.1,772.78,700.66,834.57,882.24
26,1.48,347.9,639.53,805.86,791.08,924.67,954.92,975.4,925.91,1001.04,978.2
27,1.31,294.32,607.7,693.29,809.01,902.8,887.83,943.69,906.88,916.5,966.63
28,1.18,242.07,515.94,620.16,752.92,828.65,866.11,904.65,874.76,916.24,956.03
29,1.61,385.09,697.85,754.86,892.11,924.92,957.78,975.45,988.1,988.34,987.2
30,1.43,390.32,657.95,732.3,870.46,884.41,947.56,944.06,967.31,1019.04,1027.7
