,0
0,0.5384
1,0.44920000000000004
2,0.47840000000000005
3,0.447
4,0.3224
5,0.4562
6,0.5097999999999999
7,0.48119999999999996
8,0.4904
9,0.39299999999999996
10,0.4524
11,0.5554
12,0.4268
13,0.4012
14,0.4476
15,0.4412
16,0.3514
17,0.4082
18,0.41
19,0.32880000000000004
20,0.48119999999999996
21,0.386
22,0.39659999999999995
23,0.3576
24,0.2846
25,0.3034
26,0.32880000000000004
27,0.3848
28,0.3262
29,0.363
30,0.435
31,0.327
32,0.3358
33,0.3024
34,0.28300000000000003
35,0.30219999999999997
36,0.284
37,0.3178
38,0.34240000000000004
39,0.2724
40,0.3218
41,0.23079999999999998
42,0.308
43,0.3296
44,0.35719999999999996
45,0.3248
46,0.2952
47,0.2696
48,0.2786
49,0.308
